y-y,m/d/y hh:mm ,"Day, day month Y",Y/d/m
2002-2004,02/04/21 01:55 PM,"Mon, 1 Jan 2018",2018/15/1
2002-2005,02/05/21 01:55 PM,"Tue, 2 Jan 2018",2018/15/2
2002-2006,02/06/21 01:55 PM,"Wed, 3 Jan 2018",2018/15/1
2002-2007,02/07/21 01:55 PM,"Thu, 4 Jan 2018",2018/15/1
2002-2008,02/08/21 01:55 PM,"Fri, 5 Jan 2018",2018/15/1
2002-2009,02/09/21 01:55 PM,"Sat, 6 Jan 2018",2018/15/1
2002-2010,02/10/21 01:55 PM,"Sun, 7 Jan 2018",2018/15/1
2002-2011,02/11/21 01:55 PM,"Mon, 8 Jan 2018",2018/15/1
2002-2012,02/12/21 01:55 PM,"Tue, 9 Jan 2018",2018/15/1
2002-2013,02/13/21 01:55 PM,"Wed, 10 Jan 2018",2018/15/1
2002-2014,02/14/21 01:55 PM,"Thu, 11 Jan 2018",2018/15/2
2002-2015,02/15/21 01:55 PM,"Fri, 12 Jan 2018",2018/15/2
2002-2016,02/16/21 01:55 PM,"Sat, 13 Jan 2018",2018/15/2
2002-2017,02/17/21 01:55 PM,"Sun, 14 Jan 2018",2018/15/2
2002-2018,02/18/21 01:55 PM,"Mon, 15 Jan 2018",2018/15/2
2002-2019,02/19/21 01:55 PM,"Tue, 16 Jan 2018",2018/15/2
2002-2020,02/20/21 01:55 PM,"Wed, 17 Jan 2018",2018/15/2
2002-2021,02/21/21 01:55 PM,"Thu, 18 Jan 2018",2018/15/2
2002-2022,02/22/21 01:55 PM,"Fri, 19 Jan 2018",2018/15/2
2002-2023,02/23/21 01:55 PM,"Sat, 20 Jan 2018",2018/15/3
2002-2024,02/24/21 01:55 PM,"Sun, 21 Jan 2018",2018/15/4
2002-2025,02/25/21 01:55 PM,"Mon, 22 Jan 2018",2018/15/5
2002-2026,02/26/21 01:55 PM,"Tue, 23 Jan 2018",2018/15/6
2002-2027,02/27/21 01:55 PM,"Wed, 24 Jan 2018",2018/15/7
2002-2028,02/28/21 01:55 PM,"Thu, 25 Jan 2018",2018/15/8
2002-2029,03/01/21 01:55 PM,"Fri, 26 Jan 2018",2018/15/9
