country,value,latitude,longitude,m/d/y,m-d-Y,d/m/y,d Month Y,seconds_epoch,month_name,month,year,Year,Day_name,Day Number,results
Cote d'Ivoire,1,45.499494,12.039393,02/03/21,01-01-1991,12/01/20,01 January 1987,1580824423,January,1,1888,2020,Wednesday,1,0.23
Ghana,2,6.944658,39.240347,02/04/21,01-01-1992,13/01/20,02 January 1987,1580824424,February,2,1987,1987,Monday,2,0.22
Liberia,3,7.944658,40.240347,02/05/21,01-01-1993,14/01/20,03 January 1987,1580824425,January,3,2003,2003,Tuesday,3,0.11
Morocco,4,8.944658,41.240347,02/06/21,01-01-1994,15/01/20,04 January 1987,1580824426,February,4,2004,2004,Thursday,4,0.01
Burkina Faso,5,9.944658,42.240347,02/07/21,01-01-1995,16/01/20,05 January 1987,1580824427,March,5,2005,2005,Friday,5,0.9
Guinea,6,10.944658,43.240347,02/08/21,01-01-1996,16/01/20,06 January 1987,1580824428,March,6,2006,2006,Saturday,6,0.33
Guinea-Bissau,7,11.944658,44.240347,02/09/21,01-01-1997,17/01/20,07 January 1987,1580824429,March,7,2007,2007,Sunday,7,1.3
Mali,8,12.944658,45.240347,02/10/21,01-01-1998,18/01/20,08 January 1987,1580824430,April,8,2008,2008,Saturday,8,0.44
Mauritania,9,13.944658,46.240347,02/11/21,01-01-1999,19/01/20,09 January 1987,1580824431,April,9,2009,2009,Saturday,9,0.78
Senegal,10,14.944658,47.240347,02/12/21,01-01-2000,20/01/20,10 January 1987,1580824432,May,10,2010,2010,Monday,10,0.99
Sierra Leone,11,15.944658,48.240347,02/13/21,01-01-2001,01/01/20,11 January 1987,1580824433,May,11,2011,2011,Monday,11,0.09
The Gambia,12,16.944658,49.240347,02/14/21,01-01-2002,02/01/20,12 January 1987,1580824434,June,12,2012,2012,Monday,12,0.343
Djibouti,13,17.944658,50.240347,02/15/21,01-01-2003,03/01/20,13 January 1987,1580824435,July,1,2013,2013,Monday,13,0.11
Eritrea,14,18.944658,51.240347,02/16/21,01-01-2004,04/01/20,14 January 1987,1580824436,July,2,2014,2014,Tuesday,14,0.34
Ethiopia,15,19.944658,52.240347,02/17/21,01-01-2005,05/01/20,15 January 1987,1580824437,June,3,2015,2015,Wednesday,15,0.66
Sudan,16,20.944658,53.240347,02/18/21,01-01-2006,06/01/20,16 January 1987,1580824438,May,4,2016,2016,Thursday,16,0.232
Israel,17,21.944658,54.240347,02/19/21,01-01-2007,07/01/20,17 January 1987,1580824439,August,5,2017,2017,Friday,17,1.232
Jordan,18,22.944658,55.240347,02/20/21,01-01-2008,08/01/20,18 January 1987,1580824440,August,6,2018,2018,Saturday,18,2.232
Algeria,19,23.944658,56.240347,02/21/21,01-01-2009,08/01/20,19 January 1987,1580824441,August,7,2019,2019,Sunday,19,3.232
Cameroon,20,24.944658,57.240347,02/22/21,01-01-2010,09/01/20,20 January 1987,1580824442,September,8,2020,2020,Monday,20,4.232
