city,cities
les Escaldes,Ehskal'des-Ehndzhordani
Andorra la Vella,ALV
Umm Al Quwain City,Oumm al Qaiwain
Ras Al Khaimah City,Julfa
Zayed City,Bid' Zayed
Khawr Fakkan,Fakkan
Dubai,DXB
Dibba Al-Fujairah,Al-Fujairah
Dibba Al-Hisn,BYB
Sharjah,Al Sharjah
Ar Ruways,Ar Ru'ays
Al Fujairah City,Al Fujairah City
Al Ain City,AAN
Ajman City,Ajman
Adh Dhayd,Adh Dhaid
Abu Dhabi,A-pu-that-pi
Khalifah A City,Khalifah A City
Bani Yas City,Bani Yas
Musaffah,Musaffa
Al Shamkhah City,Al Shamkhah City
Reef Al Fujairah City,Reef Al Fujairah City
Zaranj,Sarandsch
Bazar-e Yakawlang,Bazar-e Yakavlang
Taloqan,Khanabad
Shindand,Asfazar
Shibirghan,Markaz-e Wilayat-e Shibirghan
Shahrak,Bati Dara
Sar-e Pul,Sar-e Pol
Sang-e Charak,Sang-e Charak
Aibak,Aibak
Rustaq,Rostaq
Qarqin,Karkin
Qarawul,Hazrat Imam
Pul-e Khumri,Pol-e Khomri
Paghman,Paghman
Nahrin,Nahrin
Maymana,Daerah Maymana
Mehtar Lam,Laghman
Mazar-e Sharif,MZR
Lashkar Gah,BST
Kushk,Kushk
Kunduz,Kondoz
Khost,KHT
Khulm,Bazar-e Khulm
Khash,Khas
Khanabad,Khan Abad
Karukh,Karokh
Kandahar,Candahar
Kabul,Cabool
Jalalabad,Djelalabad
Jabal os Saraj,Djabal-ul-Seradj
Herat,Gerat
Ghormach,Garmak
Ghazni,GZI
Gereshk,Gereshk
Gardez,GRG
Fayzabad,FBD
Farah,FAH
Kafir Qala,Eslam Qal`eh
Charikar,Caharikar
Baraki Barak,Barah Ki Barak
Bamyan,BIN
Balkh,Bactra
Baghlan,Baghlan
Art Khwajah,Art Khvajeh (1)
Asmar,Asma
Asadabad,Asadabad
Andkhoy,Andkhoi
Bazarak,Bazarak
Markaz-e Woluswali-ye Achin,Achin
Saint John's,Saint John
The Valley,De Balei
Sarande,Agioi
Pogradec,Opshtina Pogradec
Kukes,Cucus
Korce,Corce
Gjirokaster,Agirocastro
Elbasan,Ehl'basan
Burrel,Burel
Vlore,Au'lon
Tirana,TIA
Shkoder,Iskodra
Patos Fshat,Patos Fshat
Patos,Pahtosa
Lushnje,Liusne
Lezhe,Alessio
Lac,Lac
Kucove,Kuchova
Kruje,Akcehisar
Kavaje,Cavaia
Fier,Fearica
Durres,DUH
Berat,Belgrad
Kapan,Ghap'an
Goris,Geryusy
Hats'avan,Acavan
Artashat,Artachat
Ararat,Ararat
Yerevan,Ayrivan
Vagharshapat,Artemed
Step'anavan,Dzhalalogly
Spitak,Amamlu
Sevan,Sevan
Masis,Hrazdan
Vanadzor,BĂ¶yĂ¼k QarakilsÉ™
Gavarr,Gavar
Hrazdan,Akhta
Armavir,Armavir
Gyumri,Alek'pol
Ashtarak,Achtarak
Abovyan,Abovian
Saurimo,Henrique de Carvalho
Lucapa,LBZ
Luau,Luao
Uige,Carmona
Soio,SZA
N'zeto,ARZ
N'dalatando,Dalatando
Mbanza Kongo,Mbanza Congo
Malanje,MEG
Luanda,LAD
Caxito,Caxito
Cabinda,CAB
Sumbe,Angungescapolo
Mocamedes,MSZ
Menongue,Menonge
Luena,LUO
Lubango,Lubangas
Longonjo,Congonjo
Lobito,LLT
Cuito,Bie
Huambo,Huambas
Catumbela,Asseiceira
Catabola,Catabola
Camacupa,Camacupa
Caala,Caala
Benguela,BUG
Zarate,General J.F. Uriburu
Wanda,Wanda
Villa Ortuzar,Villa Ortuzar
Villa Ocampo,Ocampo
Villa Lugano,Vilja Luganas
Villaguay,Villaguay
Villa Gesell,VLG
Villa de Mayo,C. de Mayo
Tortuguitas,Tortuguitas
Tigre,Las Conchas
Tandil,TDL
San Vicente,San Vicente
Santo Tome,Santo Tome
Santa Elena,Santa Elena
San Pedro,San Pedro
San Pedro,San Pedro
San Luis del Palmar,San Luis del Palmar
San Lorenzo,San Lorenzo
San Javier,San Javier
San Isidro,San Isidro
Saladas,Saladas
Retiro,Retiras
Resistencia,Ciudad de Resistencia
Reconquista,RCQ
Quilmes,Kil'mes
Puerto Rico,Libertador General San Martin
Puerto Iguazu,Eva Peron
Puerto Esperanza,Esperanza
Puerto Eldorado,Eldorado
Posadas,PSS
Pontevedra,Pontevedra
Pirane,Pirane
Pilar,Pilar
Paso de los Libres,AOL
Obera,Obera
Necochea,NEC
Muniz,Muniz
Moron,6 de Septiembre
Monte Caseros,MCS
