y,x,city,country,ts,value
38.96667,-0.18333,Gandia,ES,"February 17, 1983",9624
17.06542,-96.72365,Oaxaca,MX,"April 7, 1996",8973
59.33333,18.28333,Boo,SE,"December 5, 2012",9348
36.20829,-115.98391,Pahrump,US,"October 27, 2011",7594
54.03876,43.91385,Kovylkino,RU,"July 20, 1998",96
31.84568,-102.36764,Odessa,US,"July 17, 2003",787
57.30185,39.85331,Gavrilov-Yam,RU,"June 20, 1992",2154
50.75932,25.34244,Lutsk,UA,"December 28, 1983",241
0.03813,36.36339,Nyahururu,KE,"October 10, 1999",2905
45.99194,29.41824,Artsyz,UA,"October 10, 2008",4054
35.50056,117.63083,Pingyi,CN,"January 4, 2014",9106
33.92866,-6.90656,Temara,MA,"March 22, 1997",669
36.02506,-86.77917,Brentwood Estates,US,"October 1, 2008",4712
55.85,37.56667,Likhobory,RU,"February 15, 1983",401
26.2649,81.54855,Jais,IN,"March 11, 1994",2321
31.78336,35.23388,East Jerusalem,PS,"November 12, 1992",5037
57.14369,-2.09814,Aberdeen,GB,"March 27, 2007",2337
43.4125,23.225,Montana,BG,"February 3, 1997",7287
53.49389,-1.29243,Mexborough,GB,"November 2, 2010",9258
49.07866,30.96755,Zvenihorodka,UA,"July 21, 2003",3176
38.72706,-9.24671,Carnaxide,PT,"June 2, 1970",5680
45.73333,4.91667,Bron,FR,"January 10, 1980",913
16.75973,-93.11308,Tuxtla,MX,"October 23, 2012",9405
-1.26424,104.09701,Simpang,ID,"September 15, 1993",3110
41.54566,-71.29144,Middletown,US,"November 2, 1995",784
21.46527,83.97573,Sambalpur,IN,"November 18, 1999",1624
15.58552,102.42587,Bua Yai,TH,"August 24, 1971",5369
40.64621,-73.97069,Kensington,US,"March 14, 1991",6902
6.25947,102.05461,Tak Bai,TH,"June 27, 1974",1871
46.32374,-120.00865,Sunnyside,US,"May 10, 1985",1834
47.30997,8.52462,Adliswil,CH,"January 15, 2021",9458
42.819,47.1192,Buynaksk,RU,"October 24, 1989",2394
53.81667,-3.05,Blackpool,GB,"February 20, 1999",1151
50.06,43.2379,Mikhaylovka,RU,"March 16, 1993",7955
41.27621,-72.86843,East Haven,US,"March 11, 2005",5942
53.81667,-3.05,Blackpool,GB,"January 25, 2002",7171
68.79833,16.54165,Harstad,NO,"April 10, 1996",2048
-20.25333,-43.80139,Itabirito,BR,"March 2, 2020",4155
-4.24444,-42.29444,Barras,BR,"July 9, 1998",5014
34.14251,-118.25508,Glendale,US,"April 28, 1991",829
12.35275,121.06761,San Jose,PH,"March 31, 2018",994
39.00622,-77.4286,Sterling,US,"February 18, 2011",7892
6.45407,3.39467,Lagos,NG,"December 29, 1998",5249
42.06166,-1.60452,Tudela,ES,"December 15, 1987",9380
35.30889,139.55028,Kamakura,JP,"May 16, 1996",7939
36.06523,-119.01677,Porterville,US,"November 2, 2001",1838
3.3285,99.1625,Tebingtinggi,ID,"July 26, 2013",2992
51.08468,7.11393,Burscheid,DE,"August 5, 1990",667
-19.32556,-41.25528,Resplendor,BR,"July 20, 2007",2186
25.49043,85.94001,Teghra,IN,"July 27, 1999",2198
5.90702,116.10146,Donggongon,MY,"May 4, 2006",2958
32.42067,-104.22884,Carlsbad,US,"September 20, 1995",9806
55.85,37.56667,Likhobory,RU,"April 19, 1974",4717
47.46657,84.87144,Zaysan,KZ,"February 28, 2021",3919
11.93381,79.82979,Puducherry,IN,"November 26, 1990",7291
-1.26753,116.82887,Balikpapan,ID,"October 27, 1982",8190
53.69786,-2.68758,Leyland,GB,"February 26, 1990",2574
-21.41222,-42.19667,Miracema,BR,"April 8, 1985",3116
-34.74785,-58.70072,Pontevedra,AR,"March 19, 1995",2525
12.35275,121.06761,San Jose,PH,"December 7, 2012",5932
52.61131,13.31783,Hermsdorf,DE,"June 1, 1995",1340
12.37169,123.62494,Masbate,PH,"August 19, 1972",1747
-4.16694,-40.7475,Guaraciaba do Norte,BR,"August 26, 1989",8757
50.23019,8.77155,Karben,DE,"July 17, 2003",3206
48.77644,2.29026,Sceaux,FR,"May 21, 1977",5182
29.69221,72.54566,Hasilpur,PK,"August 14, 1996",3132
51.955,5.22778,Culemborg,NL,"December 24, 2006",5845
46.75451,33.34864,Nova Kakhovka,UA,"October 21, 1971",8127
-17.74431,-48.62789,Caldas Novas,BR,"January 30, 1985",7178
7.65649,4.92235,Efon-Alaaye,NG,"February 13, 1995",4782
12.1277,78.15794,Dharmapuri,IN,"July 5, 1976",3415
37.1759,128.9889,T’aebaek,KR,"February 3, 1975",1816
51.21667,6.26667,Schwalmtal,DE,"July 13, 2013",4715
37.31065,13.57661,Agrigento,IT,"October 22, 2020",8031
59.80917,30.38167,Shushary,RU,"July 31, 2005",1502
-8.66667,-35.71667,Catende,BR,"May 5, 2000",8839
31.71667,73.38333,Sangla Hill,PK,"December 28, 1993",6137
56.9083,60.8019,Beryozovsky,RU,"February 22, 1993",3026
34.21639,-119.0376,Camarillo,US,"February 9, 1970",1657
40.82232,-74.15987,Nutley,US,"May 23, 1987",6044
44.98901,38.94324,Yablonovskiy,RU,"September 4, 1988",4144
50.88506,4.07601,Denderleeuw,BE,"January 15, 1983",3001
42.52787,-70.92866,Peabody,US,"October 4, 2008",9513
-15.21194,-75.11028,Minas de Marcona,PE,"May 18, 1978",875
37.74615,-25.66689,Ponta Delgada,PT,"April 4, 1973",5343
-21.205,-41.88778,Itaperuna,BR,"April 29, 1970",3339
38.70734,-77.02303,Fort Washington,US,"July 16, 1973",8815
52.2,8.63333,Kirchlengern,DE,"June 17, 1972",1118
7.57944,-8.53778,New Yekepa,LR,"August 21, 2003",1199
41.54566,-71.29144,Middletown,US,"March 24, 2007",7004
56.03361,35.96944,Volokolamsk,RU,"January 3, 2011",2202
23.9028,89.11943,Kushtia,BD,"September 1, 2007",5767
35.30889,139.55028,Kamakura,JP,"January 29, 1998",3300
16.0438,120.4861,Manaoag,PH,"October 4, 1987",4017
11.86064,9.0027,Gaya,NG,"July 26, 1992",5199
-34.88422,150.60036,Nowra,AU,"January 24, 2001",6505
51.44889,5.51978,Tongelre,NL,"November 28, 1999",3884
45.35,126.28333,Shuangcheng,CN,"November 14, 1999",7885
44.31771,9.32241,Chiavari,IT,"December 1, 1979",6175
46.09273,-88.64235,Iron River,US,"November 21, 1973",7970
