lat,lng,region,place_name,month,day,year,value
17.30858,97.01124,Asia,Yangon,1,22,1997,3660
40.60538,-73.75513,America,New York,11,05,1983,9859
33.41012,-91.06177,America,Chicago,8,21,1982,1906
38.58894,-89.99038,America,Chicago,5,09,1991,2960
51.67822,33.9162,Europe,Kiev,1,20,2010,9377
35.815,139.6853,Asia,Tokyo,4,23,2019,1907
29.98869,122.20488,Asia,Shanghai,7,18,1975,6582
54.48147,53.47103,Asia,Yekaterinburg,11,30,1971,671
-4.06667,37.73333,Africa,Dar es Salaam,7,26,1997,1671
30.24706,115.04814,Asia,Shanghai,5,15,2015,5522
3.8801,-77.03116,America,Bogota,6,13,2012,4467
29.69221,72.54566,Asia,Karachi,8,02,1979,2093
32.35126,-95.30106,America,Chicago,3,10,2016,5033
49.07866,30.96755,Europe,Kiev,10,04,2013,7115
46.75451,33.34864,Europe,Kiev,3,01,1970,2981
13.44581,101.18445,Asia,Bangkok,2,27,2005,9361
7.50251,5.06258,Africa,Lagos,4,19,2013,5295
4.2475,9.00472,Africa,Douala,7,05,1989,1412
-25.42944,-50.00639,America,Sao Paulo,6,10,1993,1534
41.09822,120.74792,Asia,Shanghai,12,04,1997,9901
47.64995,-117.23991,America,Los Angeles,10,17,1970,3109
51.78771,56.36091,Asia,Yekaterinburg,8,05,1988,1662
34.65918,109.22921,Asia,Shanghai,10,19,2008,6702
-3.5403,118.9707,Asia,Makassar,12,30,1987,6945
41.82143,41.77921,Asia,Tbilisi,2,04,2020,5051
23.49668,86.68363,Asia,Kolkata,10,05,1973,8657
-17.73648,168.31366,Pacific,Efate,10,21,2019,1243
60.02427,30.28491,Europe,Moscow,6,29,2002,3784
35.815,139.6853,Asia,Tokyo,11,26,1970,2235
39.22493,42.85693,Europe,Istanbul,12,30,2009,581
39.57582,-105.11221,America,Denver,1,14,1997,1393
-8.99167,125.21972,Asia,Dili,6,22,1987,7558
36.6009,126.665,Asia,Seoul,11,21,1975,7731
30.24706,115.04814,Asia,Shanghai,8,28,1978,9484
2.2139,102.3278,Asia,Kuala Lumpur,6,28,2001,8494
28.54944,-81.77285,America,New York,10,17,2015,2908
37.1759,128.9889,Asia,Seoul,7,06,1994,4101
24.96334,10.18003,Africa,Tripoli,1,23,1985,6157
27.0174,49.62251,Asia,Riyadh,8,16,2017,6069
-37.9,145.18333,Australia,Melbourne,12,02,2020,939
