country,value,Latitude,Longitude,m/d/y,m-d-Y,d/m/y,d Month Y,d Month y,"Day, day month Y",m/d/y hh:mm ,seconds_epoch,Y/m/d,Y/d/m,month_name,month,m,year,Year,y,Day_name,Day Number,d,start_date,end_date,results,bool,bool2,bool3
Cote d'Ivoire,1,45.499494,12.039393,02/03/21,01-01-1991,12/01/20,01 January 1987,01 January 87,"Mon, 1 Jan 2018",02/04/21 01:55 PM,1580824423,2019/01/15,2018/15/1,January,1,1,1888,2020,2021,Wednesday,1,1,2019/01/15,2019/01/15,0.23,True,T,TRUE
Ghana,2,6.944658,39.240347,02/04/21,01-01-1992,13/01/20,02 January 1987,02 January 87,"Tue, 2 Jan 2018",02/05/21 01:55 PM,1580824424,2019/01/16,2018/15/2,February,2,2,1987,1987,1987,Monday,2,2,2019/01/16,2019/01/16,0.22,True,T,TRUE
Liberia,3,7.944658,40.240347,02/05/21,01-01-1993,14/01/20,03 January 1987,03 January 87,"Wed, 3 Jan 2018",02/06/21 01:55 PM,1580824425,2019/01/17,2018/15/1,January,3,3,2003,2003,2003,Tuesday,3,3,2019/01/17,2019/01/17,0.11,True,F,TRUE
Morocco,4,8.944658,41.240347,02/06/21,01-01-1994,15/01/20,04 January 1987,04 January 87,"Thu, 4 Jan 2018",02/07/21 01:55 PM,1580824426,2019/01/18,2018/15/1,February,4,4,2004,2004,2004,Thursday,4,4,2019/01/18,2019/01/18,0.01,True,T,TRUE
Burkina Faso,5,9.944658,42.240347,02/07/21,01-01-1995,16/01/20,05 January 1987,05 January 87,"Fri, 5 Jan 2018",02/08/21 01:55 PM,1580824427,2019/01/19,2018/15/1,March,5,5,2005,2005,2005,Friday,5,5,2019/01/19,2019/01/19,0.9,True,T,TRUE
Guinea,6,10.944658,43.240347,02/08/21,01-01-1996,16/01/20,06 January 1987,06 January 87,"Sat, 6 Jan 2018",02/09/21 01:55 PM,1580824428,2019/01/20,2018/15/1,March,6,6,2006,2006,2006,Saturday,6,6,2019/01/20,2019/01/20,0.33,True,T,TRUE
Guinea-Bissau,7,11.944658,44.240347,02/09/21,01-01-1997,17/01/20,07 January 1987,07 January 87,"Sun, 7 Jan 2018",02/10/21 01:55 PM,1580824429,2019/01/21,2018/15/1,March,7,7,2007,2007,2007,Sunday,7,7,2019/01/21,2019/01/21,1.3,True,T,TRUE
Mali,8,12.944658,45.240347,02/10/21,01-01-1998,18/01/20,08 January 1987,08 January 87,"Mon, 8 Jan 2018",02/11/21 01:55 PM,1580824430,2019/01/22,2018/15/1,April,8,8,2008,2008,2008,Saturday,8,8,2019/01/22,2019/01/22,0.44,True,T,TRUE
Mauritania,9,13.944658,46.240347,02/11/21,01-01-1999,19/01/20,09 January 1987,09 January 87,"Tue, 9 Jan 2018",02/12/21 01:55 PM,1580824431,2019/01/23,2018/15/1,April,9,9,2009,2009,2009,Saturday,9,9,2019/01/23,2019/01/23,0.78,True,F,TRUE
Senegal,10,14.944658,47.240347,02/12/21,01-01-2000,20/01/20,10 January 1987,10 January 87,"Wed, 10 Jan 2018",02/13/21 01:55 PM,1580824432,2019/01/24,2018/15/1,May,10,10,2010,2010,2010,Monday,10,10,2019/01/24,2019/01/24,0.99,True,T,TRUE
