iso3,Country.x,country,iso2
AFG,Afghanistan,afghanistan,CN 
ALB,Albania,albania,IN 
ANT,Netherlands Antilles,netherlands antilles,US 
ARB,Aruba,aruba,ID 
ARE,United Arab Emirates,united arab emirates,BR 
ARG,Argentina,argentina,PK 
ARM,Armenia,armenia,BD 
ATG,Antigua and Barbuda,antigua and barbuda,NG 
AUS,Australia,australia,RU 
AUT,Austria,austria,JP 
AZE,Azerbaijan,azerbaijan,MX 
BDI,Burundi,burundi,PH 
BEL,Belgium,belgium,VN 
BEN,Benin,benin,ET 
BFA,Burkina Faso,burkina faso,DE 
BGD,Bangladesh,bangladesh,EG 
BGR,Bulgaria,bulgaria,TR 
BHR,Bahrain,bahrain,IR 
BHS,Bahamas,bahamas,CD 
BIH,Bosnia and Herzegovina,bosnia and herzegovina,TH 
,Bosnia,bosnia,FR 
BLR,Belarus,belarus,GB 
BLZ,Belize,belize,IT 
BMU,Bermuda,bermuda,MM 
BOL,Bolivia,bolivia,ZA 
BRA,Brazil,brazil,KR 
BRB,Barbados,barbados,CO 
BRN,Brunei Darussalam,brunei darussalam,ES 
BTN,Bhutan,bhutan,UA 
BWA,Botswana,botswana,TZ 
CAF,Central African Republic,central african republic,AR 
CAN,Canada,canada,KE 
CHE,Switzerland,switzerland,PL 
CHL,Chile,chile,SD 
CHN,China,china,DZ 
CIV,Cote dIvoire,cote divoire,CA 
CMR,Cameroon,cameroon,UG 
COD,Democratic Republic of the Congo,democratic republic of the congo,MA 
COG,Congo,congo,PE 
COK,Cook Islands,cook islands,IQ 
COL,Colombia,colombia,AF 
COM,Comoros,comoros,NP 
CPV,Cape Verde,cape verde,MY 
CRI,Costa Rica,costa rica,UZ 
CUB,Cuba,cuba,VE 
CYP,Cyprus,cyprus,SA 
CZE,Czech Republic,czech republic,GH 
DEU,Germany,germany,YE 
DJI,Djibouti,djibouti,KP 
DMA,Dominica,dominica,TW 
DNK,Denmark,denmark,SY 
DOM,Dominican Republic,dominican republic,MZ 
DZA,Algeria,algeria,RO 
ECU,Ecuador,ecuador,AU 
EGY,Egypt,egypt,LK 
ERI,Eritrea,eritrea,MG 
ESP,Spain,spain,CI 
EST,Estonia,estonia,CM 
ETH,Ethiopia,ethiopia,CL 
FIN,Finland,finland,NL 
FJI,Fiji,fiji,BF 
FRA,France,france,NE 
FRO,Faroe Islands,faroe islands,MW 
GAB,Gabon,gabon,KZ 
GBR,United Kingdom,united kingdom,EC 
GEO,Georgia,georgia,KH 
GHA,Ghana,ghana,ML 
GIN,Guinea,guinea,GT 
GMB,Gambia,gambia,ZM 
GNB,Guinea-Bissau,guinea-bissau,AO 
GNQ,Equatorial Guinea,equatorial guinea,SN 
GRC,Greece,greece,ZW 
GRD,Grenada,grenada,CU 
GRL,Greenland,greenland,RW 
GTM,Guatemala,guatemala,GR 
GUY,Guyana,guyana,PT 
HKG,"Hong Kong SAR, China","hong kong sar, china",TN 
HND,Honduras,honduras,TD 
HRV,Croatia,croatia,CZ 
HTI,Haiti,haiti,BE 
HUN,Hungary,hungary,GN 
