Ydm,Ydm,dmy,dmY,normal,normal-,normallast,unknown,timestamp
2020/01/09,2020-01-09,01/01/20,01/01/20,01/01/20,01.01.2020,01-01-2020,2020/01/01,2017-1-15 12:14:10
2020/01/10,2020-01-10,01/02/20,01/02/20,01/02/20,01.02.2020,01-02-2020,2020/01/02,2017-1-15 12:14:11
2020/01/11,2020-01-11,01/03/20,01/03/20,01/03/20,01.03.2020,01-03-2020,2020/01/03,2017-1-15 12:14:12
2020/01/12,2020-01-12,01/04/20,01/04/20,01/04/20,01.04.2020,01-04-2020,2020/01/04,2017-1-15 12:14:13
2020/12/1,2020-12-01,01/05/20,01/05/20,01/05/20,01.05.2020,01-05-2020,2020/01/05,2017-1-15 12:14:14
2020/12/2,2020-12-02,21/06/2020,01/06/20,01/06/20,01.06.2020,01-06-2020,2020/01/06,2017-1-15 12:14:15
2020/12/3,2020-12-03,01/07/20,01/07/20,01/07/20,01.07.2020,01-07-2020,2020/01/07,2017-1-15 12:14:16
2020/12/4,2020-12-04,01/08/20,01/08/20,01/08/20,01.08.2020,01-08-2020,2020/01/08,2017-1-15 12:14:17
2020/12/5,2020-12-05,01/09/20,21/09/2020,01/09/20,01.09.2020,01-09-2020,2020/01/09,2017-1-15 12:14:18
2020/12/6,2020-12-06,01/10/20,01/10/20,01/10/20,01.10.2020,01-10-2020,2020/01/10,2017-1-15 12:14:19
2020/12/7,2020-12-07,01/11/20,01/11/20,01/11/20,01.11.2020,01-11-2020,2020/01/11,2017-1-15 12:14:20
2020/12/8,2020-12-08,21/1/2020,01/12/20,01/12/20,01.12.2020,01-12-2020,2020/01/12,2017-1-15 12:14:21
2020/12/9,2020-12-09,21/1/2021,01/01/20,01/13/20,01.13.2020,01-13-2020,2020/01/13,2017-1-15 12:14:22
2020/12/10,2020-12-10,21/1/2022,01/02/20,01/14/20,01.14.2020,01-14-2020,2020/01/14,2017-1-15 12:14:23
2020/12/11,2020-12-11,21/1/2023,01/03/20,01/15/20,01.15.2020,01-15-2020,2020/01/15,2017-1-15 12:14:24
2020/12/12,2020-12-12,21/1/2024,01/04/20,01/16/20,01.16.2020,01-16-2020,2020/01/16,2017-1-15 12:14:25
2020/13/1,2020-13-1,01/01/20,01/05/20,01/17/20,01.17.2020,01-17-2020,2020/01/17,2017-1-15 12:14:26
2020/13/2,2020-13-2,01/02/20,01/06/20,01/18/20,01.18.2020,01-18-2020,2020/01/18,2017-1-15 12:14:27
2020/13/3,2020-13-3,21/03/2020,01/07/20,01/19/20,01.19.2020,01-19-2020,2020/01/19,2017-1-15 12:14:28
2020/13/4,2020-13-4,01/04/20,01/08/20,01/20/20,01.20.2020,01-20-2020,2020/01/20,2017-1-15 12:14:29
2020/13/5,2020-13-5,01/05/20,21/09/2020,01/21/20,01.21.2020,01-21-2020,2020/01/21,2017-1-15 12:14:30
2020/13/6,2020-13-6,01/06/20,01/10/20,01/22/20,01.22.2020,01-22-2020,2020/01/22,2017-1-15 12:14:31
2020/13/7,2020-13-7,01/07/20,01/11/20,01/23/20,01.23.2020,01-23-2020,2020/01/23,2017-1-15 12:14:32
2020/13/8,2020-13-8,01/08/20,21/12/2020,01/24/20,01.24.2020,01-24-2020,2020/01/24,2017-1-15 12:14:33
2020/13/9,2020-13-9,01/09/20,01/01/20,01/25/20,01.25.2020,01-25-2020,2020/01/25,2017-1-15 12:14:34
2020/13/10,2020-13-10,01/10/20,01/02/20,01/26/20,01.26.2020,01-26-2020,2020/01/26,2017-1-15 12:14:35
2020/13/11,2020-13-11,01/11/20,01/03/20,01/27/20,01.27.2020,01-27-2020,2020/01/27,2017-1-15 12:14:36
2020/13/12,2020-13-12,01/12/20,01/04/20,01/28/20,01.28.2020,01-28-2020,2020/01/28,2017-1-15 12:14:37
2020/15/01,2020-15-01,21/01/2020,21/05/2020,01/29/20,01.29.2020,01-29-2020,2020/01/29,2017-1-15 12:14:38
2020/15/02,2020-15-02,21/02/2020,21/06/2020,01/30/20,01.30.2020,01-30-2020,2020/02/01,2017-1-15 12:14:39
2020/15/03,2020-15-03,01/03/20,21/07/2020,01/31/20,01.31.2020,01-31-2020,2020/02/02,2017-1-15 12:14:40
2020/15/04,2020-15-04,19/04/2020,21/08/2020,02/01/20,02.01.2020,02-01-2020,2020/02/03,2017-1-15 12:14:41
2020/15/05,2020-15-05,19/05/2020,21/09/2020,02/02/20,02.02.2020,02-02-2020,2020/02/04,2017-1-15 12:14:42
2020/15/06,2020-15-06,18/06/2020,21/10/2020,02/03/20,02.03.2020,02-03-2020,2020/02/05,2017-1-15 12:14:43
2020/15/07,2020-15-07,11/07/20,21/11/2020,02/04/20,02.04.2020,02-04-2020,2020/02/06,2017-1-15 12:14:44
2020/15/08,2020-15-08,21/08/2020,21/12/2020,02/05/20,02.05.2020,02-05-2020,2020/02/07,2017-1-15 12:14:45
2020/15/09,2020-15-09,21/09/2020,21/01/2020,02/06/20,02.06.2020,02-06-2020,2020/02/08,2017-1-15 12:14:46
2020/15/10,2020-15-10,21/10/2020,21/02/2020,02/07/20,02.07.2020,02-07-2020,2020/02/09,2017-1-15 12:14:47
2020/15/11,2020-15-11,21/11/2020,21/03/2020,02/08/20,02.08.2020,02-08-2020,2020/02/10,2017-1-15 12:14:48
